model,avg_gross_%,tstat_gross,sharpe_gross,avg_net_%,tstat_net,sharpe_net,avg_turnover_long_%,avg_turnover_short_%,avg_cost_long_bp,avg_cost_short_bp,N_months
ENET,-0.03986387218152807,-0.09496878578770067,-0.021787333686281524,-3.3627063626731237,-7.802754411023177,-1.7900746294166447,184.12585947562889,186.91336393733306,166.47454657059916,165.80970247856035,228
OLS-H,0.022032324174644926,0.04709377419395591,0.010804052767440918,-3.4534759639667447,-7.137107842158942,-1.6373648333222353,184.64300235449505,188.20259867910895,163.96725360101277,183.58357521312624,228
