date,gross_long,gross_short,gross_ls,turnover_long,turnover_short,cost_long,cost_short,net_ls,cum_gross_ls,cum_net_ls
2004-12-31,-0.04590689390259178,0.004860243043594796,-0.05076713694618658,1.0,0.9999999999999999,0.010762502548110418,0.005581348610421002,-0.067110988104718,0.9492328630538134,0.932889011895282
2005-01-31,0.04594859473343131,0.0019328192516036924,0.04401577548182762,1.878795185630982,1.92712554079814,0.015924986626236946,0.013475823785114447,0.014614965070476226,0.9910140836339624,0.9465231522187627
2005-02-28,-0.038617548885125204,-0.031681511406854455,-0.0069360374782707485,1.90871967429428,1.859325311398029,0.012007234546247435,0.01348356194214852,-0.03242683396666671,0.9841403728083831,0.9158304031161589
2005-03-31,-0.007066503832402458,-0.08737935686595943,0.08031285303355698,1.9486996169610915,1.8483508048511907,0.013576731869797737,0.015618819020342598,0.05111730214341664,1.0631794939341328,0.9626451825443746
2005-04-30,0.03888345485327995,0.07059601981117412,-0.03171256495789417,1.7056354686104997,1.8108625067046478,0.012375849565713845,0.018167906835185352,-0.06225632135879337,1.0294633451708455,0.9027144347053977
2005-05-31,0.029849556381011486,0.032110978785752274,-0.0022614224047407885,1.7426692044070022,1.898552013589578,0.012038698848993251,0.013223627689034642,-0.027523748942768683,1.0271352936972167,0.877868349237553
2005-06-30,0.03940498805949381,0.04817826264181358,-0.008773274582319773,1.72366898030148,1.9376858283278937,0.012918348911755998,0.009756391403082675,-0.03144801489715845,1.0181239537324194,0.8502611323129865
2005-07-31,-0.007479558777259782,-0.01238817680061092,0.004908618023351139,1.8612590529442894,1.8846818307704694,0.013571830062275986,0.008211963176976552,-0.0168751752159014,1.0231215353217158,0.8359128267259341
2005-08-31,0.04503132294947195,-0.028482304930155695,0.07351362787962765,1.8566951018559052,1.948259706462651,0.013280528552434511,0.01106665562849785,0.049166443698695286,1.0983349111449896,0.8770116876581721
2005-09-30,-0.053330113228871365,-0.01505969288687255,-0.03827042034199882,1.7048144251486455,1.763574861571887,0.011876829092984405,0.011545528554897355,-0.06169277798988058,1.0563011724191789,0.822906400316946
2005-10-31,0.05613905309833707,0.04578898746639144,0.010350065631945626,1.8251083442262899,1.8992083856749733,0.014735586821060477,0.014931646063846166,-0.019317167252961016,1.0672339588808184,0.8070101797484914
2005-11-30,0.006060130446710823,0.01513194606341821,-0.009071815616707387,1.837304593091123,1.839466751140492,0.012510652835975748,0.012814725363526541,-0.034397193816209676,1.057552209185963,0.7792512941840284
2005-12-31,0.06696449326556345,0.07730770255324325,-0.010343209287679803,1.7683757638745057,1.9450708382851036,0.011981966591533898,0.013644858299518593,-0.03597003417873229,1.0466137253537044,0.7512215984984074
2006-01-31,-0.032456664688732886,0.01294309585974978,-0.045399760548482666,1.7763905552360717,1.9621679404421986,0.013401708875548791,0.011787840850116691,-0.07058931027414815,0.9990977128358908,0.6981933839973617
2006-02-28,0.05450301254293812,0.05366853061969981,0.0008344819232383102,1.84540885583871,1.962668639953694,0.016250617488672445,0.011967399825732427,-0.02738353539116656,0.9999314418168009,0.6790743807567916
2006-03-31,0.008467073564974458,0.007600468820632391,0.0008666047443420671,1.6724821778277392,1.9589585702471373,0.01337566338759683,0.012458723752312741,-0.024967782395567503,1.0007979871482962,0.6621193993876513
2006-04-30,-0.030431459481217144,-0.055390391311490324,0.02495893183027318,1.850645273891156,1.7952605641300394,0.015715574090853657,0.011674297241850068,-0.002430939502430545,1.0257768358854051,0.6605098271843542
2006-05-31,0.003401343371803843,-0.01126124185188748,0.014662585223691325,1.8546928000609688,1.8300187896484033,0.013135464976459958,0.01436169851939679,-0.012834578272165423,1.0408173761620632,0.6520324621078222
2006-06-30,-0.041306600418676315,-0.06699249530233009,0.025685894883653776,1.8568332218461434,1.8439777054190123,0.012884922828874183,0.015195267377340085,-0.0023942953225604916,1.0675517018792422,0.6504713038336398
2006-07-31,0.02209942530386144,0.06007907466554675,-0.03797964936168531,1.9539501410782165,1.7533867609688092,0.014125151284066564,0.015667032573943137,-0.06777183321969502,1.0270064625663982,0.6063876711160288
2006-08-31,0.019502280948888607,0.012340896617948429,0.007161384330940178,1.976865382434984,1.9107022519989436,0.013816650912743584,0.014720969589561494,-0.0213762361713649,1.0343612505551953,0.5934253850468486
2006-09-30,0.04355292703826891,0.05553691569274703,-0.011983988654478125,1.840518064116846,1.7214210579439844,0.013779689860197073,0.011315335259007556,-0.03707901377368275,1.0219654770639102,0.5714217570210436
2006-10-31,0.03238862009628516,0.0180091167775316,0.01437950331875356,1.891456616447701,1.9253331009805965,0.013982843888332402,0.013600391933554818,-0.01320373250313366,1.036660833033002,0.5638768569948671
2006-11-30,-0.008133586433039753,0.014015820242024541,-0.022149406675064293,1.8098174171042212,1.8817090977904922,0.01252607849690152,0.010465946177738293,-0.0451414313497041,1.0136994106580433,0.5384226485651464
2006-12-31,0.02692817247567921,0.02567520683782875,0.0012529656378504617,1.8665460867733465,1.8033504227840222,0.013540222706674878,0.01143407082829787,-0.023721327897122287,1.014969541186707,0.5256505483712955
2007-01-31,-0.021507977558165713,-0.01073953156759233,-0.010768445990573382,1.8520858646654221,1.9507125835522194,0.014461698814444052,0.014784624019237674,-0.04001476882425511,1.004039896500361,0.5046167631958752
2007-02-28,0.017193657683938164,-0.005748558140512512,0.022942215824450676,1.8212678257749984,1.968425895108431,0.011814593492319841,0.01072421563732814,0.0004034066948026948,1.0270747965022315,0.5048203289764581
